"feedback","sentiment"
"Decent naman yung experience. Para sa MSME spa visit.","Neutral"
"The body scrub was basic. During weekend booking.","Neutral"
"Hindi ako disappointed, sakto lang. Sa local spa namin.","Neutral"
"The service was neither good nor bad. For regular customer experience.","Neutral"
"Wala akong major complaint. After work appointment.","Neutral"
"The tea was okay. Visit note.","Neutral"
"The place was calm enough. Para sa MSME spa visit.","Neutral"
"Mediocre pero usable yung service. During weekend booking.","Neutral"
"The overall visit was just fine. Sa local spa namin.","Neutral"
"Matagal bago kami naasikaso sa massage.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage.","Negative"
"Di ako satisfied sa service.","Negative"
"Mainit yung spa room.","Negative"
"Masakit yung massage and rushed ang staff.","Negative"
"Ang tagal ng waiting time.","Negative"
"Maingay sa room habang massage.","Negative"
"Hindi malinis yung towel.","Negative"
"Mahal pero bitin yung service.","Negative"
"The therapist was not attentive.","Negative"
"Hindi relaxing ang experience.","Negative"
"Rude yung receptionist sa front desk.","Negative"
"The room smelled bad.","Negative"
"Late nag start yung appointment.","Negative"
"Hindi nasunod yung requested pressure.","Negative"
"The staff ignored my concern.","Negative"
"Sobrang lamig ng room and uncomfortable.","Negative"
"The massage felt rushed and careless.","Negative"
"Walang proper explanation before treatment.","Negative"
"Disappointed ako sa facial result.","Negative"
"Dirty yung linens and towel.","Negative"
"Too expensive for the quality.","Negative"
"Hindi sulit yung package.","Negative"
"The booking was confusing.","Negative"
"I waited too long before the therapist arrived.","Negative"
"The room was noisy and not relaxing.","Negative"
"The staff seemed impatient.","Negative"
"Walang apology sa delay.","Negative"
"The service was poor and stressful.","Negative"
"Hindi ko nagustuhan yung ambiance.","Negative"
"The therapist used too much pressure.","Negative"
"Bitin yung session and parang minadali.","Negative"
"The front desk was disorganized.","Negative"
"Hindi fresh yung towels.","Negative"
"The body scrub irritated my skin.","Negative"
"The massage did not help my pain.","Negative"
"Sobra ang waiting time kahit may booking.","Negative"
"The staff were not friendly.","Negative"
"Ayaw kong bumalik after this visit.","Negative"
"Bad experience sa spa today.","Negative"
"Matagal bago kami naasikaso sa massage. For regular customer experience.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. After work appointment.","Negative"
"Di ako satisfied sa service. Visit note.","Negative"
"Mainit yung spa room. Para sa MSME spa visit.","Negative"
"Masakit yung massage and rushed ang staff. During weekend booking.","Negative"
"Ang tagal ng waiting time. Sa local spa namin.","Negative"
"Maingay sa room habang massage. For regular customer experience.","Negative"
"Hindi malinis yung towel. After work appointment.","Negative"
"Mahal pero bitin yung service. Visit note.","Negative"
"The therapist was not attentive. Para sa MSME spa visit.","Negative"
"Hindi relaxing ang experience. During weekend booking.","Negative"
"Rude yung receptionist sa front desk. Sa local spa namin.","Negative"
"The room smelled bad. For regular customer experience.","Negative"
"Late nag start yung appointment. After work appointment.","Negative"
"Hindi nasunod yung requested pressure. Visit note.","Negative"
"The staff ignored my concern. Para sa MSME spa visit.","Negative"
"Sobrang lamig ng room and uncomfortable. During weekend booking.","Negative"
"The massage felt rushed and careless. Sa local spa namin.","Negative"
"Walang proper explanation before treatment. For regular customer experience.","Negative"
"Disappointed ako sa facial result. After work appointment.","Negative"
"Dirty yung linens and towel. Visit note.","Negative"
"Too expensive for the quality. Para sa MSME spa visit.","Negative"
"Hindi sulit yung package. During weekend booking.","Negative"
"The booking was confusing. Sa local spa namin.","Negative"
"I waited too long before the therapist arrived. For regular customer experience.","Negative"
"The room was noisy and not relaxing. After work appointment.","Negative"
"The staff seemed impatient. Visit note.","Negative"
"Walang apology sa delay. Para sa MSME spa visit.","Negative"
"The service was poor and stressful. During weekend booking.","Negative"
"Hindi ko nagustuhan yung ambiance. Sa local spa namin.","Negative"
"The therapist used too much pressure. For regular customer experience.","Negative"
"Bitin yung session and parang minadali. After work appointment.","Negative"
"The front desk was disorganized. Visit note.","Negative"
"Hindi fresh yung towels. Para sa MSME spa visit.","Negative"
"The body scrub irritated my skin. During weekend booking.","Negative"
"The massage did not help my pain. Sa local spa namin.","Negative"
"Sobra ang waiting time kahit may booking. For regular customer experience.","Negative"
"The staff were not friendly. After work appointment.","Negative"
"Ayaw kong bumalik after this visit. Visit note.","Negative"
"Bad experience sa spa today. Para sa MSME spa visit.","Negative"
"Matagal bago kami naasikaso sa massage. During weekend booking.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Sa local spa namin.","Negative"
"Di ako satisfied sa service. For regular customer experience.","Negative"
"Mainit yung spa room. After work appointment.","Negative"
"Masakit yung massage and rushed ang staff. Visit note.","Negative"
"Ang tagal ng waiting time. Para sa MSME spa visit.","Negative"
"Maingay sa room habang massage. During weekend booking.","Negative"
"Hindi malinis yung towel. Sa local spa namin.","Negative"
"Mahal pero bitin yung service. For regular customer experience.","Negative"
"The therapist was not attentive. After work appointment.","Negative"
"Hindi relaxing ang experience. Visit note.","Negative"
"Rude yung receptionist sa front desk. Para sa MSME spa visit.","Negative"
"The room smelled bad. During weekend booking.","Negative"
"Late nag start yung appointment. Sa local spa namin.","Negative"
"Hindi nasunod yung requested pressure. For regular customer experience.","Negative"
"The staff ignored my concern. After work appointment.","Negative"
"Sobrang lamig ng room and uncomfortable. Visit note.","Negative"
"The massage felt rushed and careless. Para sa MSME spa visit.","Negative"
"Walang proper explanation before treatment. During weekend booking.","Negative"
"Disappointed ako sa facial result. Sa local spa namin.","Negative"
"Dirty yung linens and towel. For regular customer experience.","Negative"
"Too expensive for the quality. After work appointment.","Negative"
"Hindi sulit yung package. Visit note.","Negative"
"The booking was confusing. Para sa MSME spa visit.","Negative"
"I waited too long before the therapist arrived. During weekend booking.","Negative"
"The room was noisy and not relaxing. Sa local spa namin.","Negative"
"The staff seemed impatient. For regular customer experience.","Negative"
"Walang apology sa delay. After work appointment.","Negative"
"The service was poor and stressful. Visit note.","Negative"
"Hindi ko nagustuhan yung ambiance. Para sa MSME spa visit.","Negative"
"The therapist used too much pressure. During weekend booking.","Negative"
"Bitin yung session and parang minadali. Sa local spa namin.","Negative"
"The front desk was disorganized. For regular customer experience.","Negative"
"Hindi fresh yung towels. After work appointment.","Negative"
"The body scrub irritated my skin. Visit note.","Negative"
"The massage did not help my pain. Para sa MSME spa visit.","Negative"
"Sobra ang waiting time kahit may booking. During weekend booking.","Negative"
"The staff were not friendly. Sa local spa namin.","Negative"
"Ayaw kong bumalik after this visit. For regular customer experience.","Negative"
"Bad experience sa spa today. After work appointment.","Negative"
"Matagal bago kami naasikaso sa massage. Visit note.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Para sa MSME spa visit.","Negative"
"Di ako satisfied sa service. During weekend booking.","Negative"
"Mainit yung spa room. Sa local spa namin.","Negative"
"Masakit yung massage and rushed ang staff. For regular customer experience.","Negative"
"Ang tagal ng waiting time. After work appointment.","Negative"
"Maingay sa room habang massage. Visit note.","Negative"
"Hindi malinis yung towel. Para sa MSME spa visit.","Negative"
"Mahal pero bitin yung service. During weekend booking.","Negative"
"The therapist was not attentive. Sa local spa namin.","Negative"
"Hindi relaxing ang experience. For regular customer experience.","Negative"
"Rude yung receptionist sa front desk. After work appointment.","Negative"
"The room smelled bad. Visit note.","Negative"
"Late nag start yung appointment. Para sa MSME spa visit.","Negative"
"Hindi nasunod yung requested pressure. During weekend booking.","Negative"
"The staff ignored my concern. Sa local spa namin.","Negative"
"Sobrang lamig ng room and uncomfortable. For regular customer experience.","Negative"
"The massage felt rushed and careless. After work appointment.","Negative"
"Walang proper explanation before treatment. Visit note.","Negative"
"Disappointed ako sa facial result. Para sa MSME spa visit.","Negative"
"Dirty yung linens and towel. During weekend booking.","Negative"
"Too expensive for the quality. Sa local spa namin.","Negative"
"Hindi sulit yung package. For regular customer experience.","Negative"
"The booking was confusing. After work appointment.","Negative"
"I waited too long before the therapist arrived. Visit note.","Negative"
"The room was noisy and not relaxing. Para sa MSME spa visit.","Negative"
"The staff seemed impatient. During weekend booking.","Negative"
"Walang apology sa delay. Sa local spa namin.","Negative"
"The service was poor and stressful. For regular customer experience.","Negative"
"Hindi ko nagustuhan yung ambiance. After work appointment.","Negative"
"The therapist used too much pressure. Visit note.","Negative"
"Bitin yung session and parang minadali. Para sa MSME spa visit.","Negative"
"The front desk was disorganized. During weekend booking.","Negative"
"Hindi fresh yung towels. Sa local spa namin.","Negative"
"The body scrub irritated my skin. For regular customer experience.","Negative"
"The massage did not help my pain. After work appointment.","Negative"
"Sobra ang waiting time kahit may booking. Visit note.","Negative"
"The staff were not friendly. Para sa MSME spa visit.","Negative"
"Ayaw kong bumalik after this visit. During weekend booking.","Negative"
"Bad experience sa spa today. Sa local spa namin.","Negative"
"Matagal bago kami naasikaso sa massage. For regular customer experience.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. After work appointment.","Negative"
"Di ako satisfied sa service. Visit note.","Negative"
"Mainit yung spa room. Para sa MSME spa visit.","Negative"
"Masakit yung massage and rushed ang staff. During weekend booking.","Negative"
"Ang tagal ng waiting time. Sa local spa namin.","Negative"
"Maingay sa room habang massage. For regular customer experience.","Negative"
"Hindi malinis yung towel. After work appointment.","Negative"
"Mahal pero bitin yung service. Visit note.","Negative"
"The therapist was not attentive. Para sa MSME spa visit.","Negative"
"Hindi relaxing ang experience. During weekend booking.","Negative"
"Rude yung receptionist sa front desk. Sa local spa namin.","Negative"
"The room smelled bad. For regular customer experience.","Negative"
"Late nag start yung appointment. After work appointment.","Negative"
"Hindi nasunod yung requested pressure. Visit note.","Negative"
"The staff ignored my concern. Para sa MSME spa visit.","Negative"
"Sobrang lamig ng room and uncomfortable. During weekend booking.","Negative"
"The massage felt rushed and careless. Sa local spa namin.","Negative"
"Walang proper explanation before treatment. For regular customer experience.","Negative"
"Disappointed ako sa facial result. After work appointment.","Negative"
"Dirty yung linens and towel. Visit note.","Negative"
"Too expensive for the quality. Para sa MSME spa visit.","Negative"
"Hindi sulit yung package. During weekend booking.","Negative"
"The booking was confusing. Sa local spa namin.","Negative"
"I waited too long before the therapist arrived. For regular customer experience.","Negative"
"The room was noisy and not relaxing. After work appointment.","Negative"
"The staff seemed impatient. Visit note.","Negative"
"Walang apology sa delay. Para sa MSME spa visit.","Negative"
"The service was poor and stressful. During weekend booking.","Negative"
"Hindi ko nagustuhan yung ambiance. Sa local spa namin.","Negative"
"The therapist used too much pressure. For regular customer experience.","Negative"
"Bitin yung session and parang minadali. After work appointment.","Negative"
"The front desk was disorganized. Visit note.","Negative"
"Hindi fresh yung towels. Para sa MSME spa visit.","Negative"
"The body scrub irritated my skin. During weekend booking.","Negative"
"The massage did not help my pain. Sa local spa namin.","Negative"
"Sobra ang waiting time kahit may booking. For regular customer experience.","Negative"
"The staff were not friendly. After work appointment.","Negative"
"Ayaw kong bumalik after this visit. Visit note.","Negative"
"Bad experience sa spa today. Para sa MSME spa visit.","Negative"
"Matagal bago kami naasikaso sa massage. During weekend booking.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Sa local spa namin.","Negative"
"Di ako satisfied sa service. For regular customer experience.","Negative"
"Mainit yung spa room. After work appointment.","Negative"
"Masakit yung massage and rushed ang staff. Visit note.","Negative"
"Ang tagal ng waiting time. Para sa MSME spa visit.","Negative"
"Maingay sa room habang massage. During weekend booking.","Negative"
"Hindi malinis yung towel. Sa local spa namin.","Negative"
"Mahal pero bitin yung service. For regular customer experience.","Negative"
"The therapist was not attentive. After work appointment.","Negative"
"Hindi relaxing ang experience. Visit note.","Negative"
"Rude yung receptionist sa front desk. Para sa MSME spa visit.","Negative"
"The room smelled bad. During weekend booking.","Negative"
"Late nag start yung appointment. Sa local spa namin.","Negative"
"Hindi nasunod yung requested pressure. For regular customer experience.","Negative"
"The staff ignored my concern. After work appointment.","Negative"
"Sobrang lamig ng room and uncomfortable. Visit note.","Negative"
"The massage felt rushed and careless. Para sa MSME spa visit.","Negative"
"Walang proper explanation before treatment. During weekend booking.","Negative"
"Disappointed ako sa facial result. Sa local spa namin.","Negative"
"Dirty yung linens and towel. For regular customer experience.","Negative"
"Too expensive for the quality. After work appointment.","Negative"
"Hindi sulit yung package. Visit note.","Negative"
"The booking was confusing. Para sa MSME spa visit.","Negative"
"I waited too long before the therapist arrived. During weekend booking.","Negative"
"The room was noisy and not relaxing. Sa local spa namin.","Negative"
"The staff seemed impatient. For regular customer experience.","Negative"
"Walang apology sa delay. After work appointment.","Negative"
"The service was poor and stressful. Visit note.","Negative"
"Hindi ko nagustuhan yung ambiance. Para sa MSME spa visit.","Negative"
"The therapist used too much pressure. During weekend booking.","Negative"
"Bitin yung session and parang minadali. Sa local spa namin.","Negative"
"The front desk was disorganized. For regular customer experience.","Negative"
"Hindi fresh yung towels. After work appointment.","Negative"
"The body scrub irritated my skin. Visit note.","Negative"
"The massage did not help my pain. Para sa MSME spa visit.","Negative"
"Sobra ang waiting time kahit may booking. During weekend booking.","Negative"
"The staff were not friendly. Sa local spa namin.","Negative"
"Ayaw kong bumalik after this visit. For regular customer experience.","Negative"
"Bad experience sa spa today. After work appointment.","Negative"
"Matagal bago kami naasikaso sa massage. Visit note.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Para sa MSME spa visit.","Negative"
"Di ako satisfied sa service. During weekend booking.","Negative"
"Mainit yung spa room. Sa local spa namin.","Negative"
"Masakit yung massage and rushed ang staff. For regular customer experience.","Negative"
"Ang tagal ng waiting time. After work appointment.","Negative"
"Maingay sa room habang massage. Visit note.","Negative"
"Hindi malinis yung towel. Para sa MSME spa visit.","Negative"
"Mahal pero bitin yung service. During weekend booking.","Negative"
"The therapist was not attentive. Sa local spa namin.","Negative"
"Hindi relaxing ang experience. For regular customer experience.","Negative"
"Rude yung receptionist sa front desk. After work appointment.","Negative"
"The room smelled bad. Visit note.","Negative"
"Late nag start yung appointment. Para sa MSME spa visit.","Negative"
"Hindi nasunod yung requested pressure. During weekend booking.","Negative"
"The staff ignored my concern. Sa local spa namin.","Negative"
"Sobrang lamig ng room and uncomfortable. For regular customer experience.","Negative"
"The massage felt rushed and careless. After work appointment.","Negative"
"Walang proper explanation before treatment. Visit note.","Negative"
"Disappointed ako sa facial result. Para sa MSME spa visit.","Negative"
"Dirty yung linens and towel. During weekend booking.","Negative"
"Too expensive for the quality. Sa local spa namin.","Negative"
"Hindi sulit yung package. For regular customer experience.","Negative"
"The booking was confusing. After work appointment.","Negative"
"I waited too long before the therapist arrived. Visit note.","Negative"
"The room was noisy and not relaxing. Para sa MSME spa visit.","Negative"
"The staff seemed impatient. During weekend booking.","Negative"
"Walang apology sa delay. Sa local spa namin.","Negative"
"The service was poor and stressful. For regular customer experience.","Negative"
"Hindi ko nagustuhan yung ambiance. After work appointment.","Negative"
"The therapist used too much pressure. Visit note.","Negative"
"Bitin yung session and parang minadali. Para sa MSME spa visit.","Negative"
"The front desk was disorganized. During weekend booking.","Negative"
"Hindi fresh yung towels. Sa local spa namin.","Negative"
"The body scrub irritated my skin. For regular customer experience.","Negative"
"The massage did not help my pain. After work appointment.","Negative"
"Sobra ang waiting time kahit may booking. Visit note.","Negative"
"The staff were not friendly. Para sa MSME spa visit.","Negative"
"Ayaw kong bumalik after this visit. During weekend booking.","Negative"
"Bad experience sa spa today. Sa local spa namin.","Negative"
"Matagal bago kami naasikaso sa massage. For regular customer experience.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. After work appointment.","Negative"
"Di ako satisfied sa service. Visit note.","Negative"
"Mainit yung spa room. Para sa MSME spa visit.","Negative"
"Masakit yung massage and rushed ang staff. During weekend booking.","Negative"
"Ang tagal ng waiting time. Sa local spa namin.","Negative"
"Maingay sa room habang massage. For regular customer experience.","Negative"
"Hindi malinis yung towel. After work appointment.","Negative"
"Mahal pero bitin yung service. Visit note.","Negative"
"The therapist was not attentive. Para sa MSME spa visit.","Negative"
"Hindi relaxing ang experience. During weekend booking.","Negative"
"Rude yung receptionist sa front desk. Sa local spa namin.","Negative"
"The room smelled bad. For regular customer experience.","Negative"
"Late nag start yung appointment. After work appointment.","Negative"
"Hindi nasunod yung requested pressure. Visit note.","Negative"
"The staff ignored my concern. Para sa MSME spa visit.","Negative"
"Sobrang lamig ng room and uncomfortable. During weekend booking.","Negative"
"The massage felt rushed and careless. Sa local spa namin.","Negative"
"Walang proper explanation before treatment. For regular customer experience.","Negative"
"Disappointed ako sa facial result. After work appointment.","Negative"
"Dirty yung linens and towel. Visit note.","Negative"
"Too expensive for the quality. Para sa MSME spa visit.","Negative"
"Hindi sulit yung package. During weekend booking.","Negative"
"The booking was confusing. Sa local spa namin.","Negative"
"I waited too long before the therapist arrived. For regular customer experience.","Negative"
"The room was noisy and not relaxing. After work appointment.","Negative"
"The staff seemed impatient. Visit note.","Negative"
"Walang apology sa delay. Para sa MSME spa visit.","Negative"
"The service was poor and stressful. During weekend booking.","Negative"
"Hindi ko nagustuhan yung ambiance. Sa local spa namin.","Negative"
"The therapist used too much pressure. For regular customer experience.","Negative"
"Bitin yung session and parang minadali. After work appointment.","Negative"
"The front desk was disorganized. Visit note.","Negative"
"Hindi fresh yung towels. Para sa MSME spa visit.","Negative"
"The body scrub irritated my skin. During weekend booking.","Negative"
"The massage did not help my pain. Sa local spa namin.","Negative"
"Sobra ang waiting time kahit may booking. For regular customer experience.","Negative"
"The staff were not friendly. After work appointment.","Negative"
"Ayaw kong bumalik after this visit. Visit note.","Negative"
"Bad experience sa spa today. Para sa MSME spa visit.","Negative"
"Matagal bago kami naasikaso sa massage. During weekend booking.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Sa local spa namin.","Negative"
"Di ako satisfied sa service. For regular customer experience.","Negative"
"Mainit yung spa room. After work appointment.","Negative"
"Masakit yung massage and rushed ang staff. Visit note.","Negative"
"Ang tagal ng waiting time. Para sa MSME spa visit.","Negative"
"Maingay sa room habang massage. During weekend booking.","Negative"
"Hindi malinis yung towel. Sa local spa namin.","Negative"
"Mahal pero bitin yung service. For regular customer experience.","Negative"
"The therapist was not attentive. After work appointment.","Negative"
"Hindi relaxing ang experience. Visit note.","Negative"
"Rude yung receptionist sa front desk. Para sa MSME spa visit.","Negative"
"The room smelled bad. During weekend booking.","Negative"
"Late nag start yung appointment. Sa local spa namin.","Negative"
"Hindi nasunod yung requested pressure. For regular customer experience.","Negative"
"The staff ignored my concern. After work appointment.","Negative"
"Sobrang lamig ng room and uncomfortable. Visit note.","Negative"
"The massage felt rushed and careless. Para sa MSME spa visit.","Negative"
"Walang proper explanation before treatment. During weekend booking.","Negative"
"Disappointed ako sa facial result. Sa local spa namin.","Negative"
"Dirty yung linens and towel. For regular customer experience.","Negative"
"Too expensive for the quality. After work appointment.","Negative"
"Hindi sulit yung package. Visit note.","Negative"
"The booking was confusing. Para sa MSME spa visit.","Negative"
"I waited too long before the therapist arrived. During weekend booking.","Negative"
"The room was noisy and not relaxing. Sa local spa namin.","Negative"
"The staff seemed impatient. For regular customer experience.","Negative"
"Walang apology sa delay. After work appointment.","Negative"
"The service was poor and stressful. Visit note.","Negative"
"Hindi ko nagustuhan yung ambiance. Para sa MSME spa visit.","Negative"
"The therapist used too much pressure. During weekend booking.","Negative"
"Bitin yung session and parang minadali. Sa local spa namin.","Negative"
"The front desk was disorganized. For regular customer experience.","Negative"
"Hindi fresh yung towels. After work appointment.","Negative"
"The body scrub irritated my skin. Visit note.","Negative"
"The massage did not help my pain. Para sa MSME spa visit.","Negative"
"Sobra ang waiting time kahit may booking. During weekend booking.","Negative"
"The staff were not friendly. Sa local spa namin.","Negative"
"Ayaw kong bumalik after this visit. For regular customer experience.","Negative"
"Bad experience sa spa today. After work appointment.","Negative"
"Matagal bago kami naasikaso sa massage. Visit note.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Para sa MSME spa visit.","Negative"
"Di ako satisfied sa service. During weekend booking.","Negative"
"Mainit yung spa room. Sa local spa namin.","Negative"
"Masakit yung massage and rushed ang staff. For regular customer experience.","Negative"
"Ang tagal ng waiting time. After work appointment.","Negative"
"Maingay sa room habang massage. Visit note.","Negative"
"Hindi malinis yung towel. Para sa MSME spa visit.","Negative"
"Mahal pero bitin yung service. During weekend booking.","Negative"
"The therapist was not attentive. Sa local spa namin.","Negative"
"Hindi relaxing ang experience. For regular customer experience.","Negative"
"Rude yung receptionist sa front desk. After work appointment.","Negative"
"The room smelled bad. Visit note.","Negative"
"Late nag start yung appointment. Para sa MSME spa visit.","Negative"
"Hindi nasunod yung requested pressure. During weekend booking.","Negative"
"The staff ignored my concern. Sa local spa namin.","Negative"
"Sobrang lamig ng room and uncomfortable. For regular customer experience.","Negative"
"The massage felt rushed and careless. After work appointment.","Negative"
"Walang proper explanation before treatment. Visit note.","Negative"
"Disappointed ako sa facial result. Para sa MSME spa visit.","Negative"
"Dirty yung linens and towel. During weekend booking.","Negative"
"Too expensive for the quality. Sa local spa namin.","Negative"
"Hindi sulit yung package. For regular customer experience.","Negative"
"The booking was confusing. After work appointment.","Negative"
"I waited too long before the therapist arrived. Visit note.","Negative"
"The room was noisy and not relaxing. Para sa MSME spa visit.","Negative"
"The staff seemed impatient. During weekend booking.","Negative"
"Walang apology sa delay. Sa local spa namin.","Negative"
"The service was poor and stressful. For regular customer experience.","Negative"
"Hindi ko nagustuhan yung ambiance. After work appointment.","Negative"
"The therapist used too much pressure. Visit note.","Negative"
"Bitin yung session and parang minadali. Para sa MSME spa visit.","Negative"
"The front desk was disorganized. During weekend booking.","Negative"
"Hindi fresh yung towels. Sa local spa namin.","Negative"
"The body scrub irritated my skin. For regular customer experience.","Negative"
"The massage did not help my pain. After work appointment.","Negative"
"Sobra ang waiting time kahit may booking. Visit note.","Negative"
"The staff were not friendly. Para sa MSME spa visit.","Negative"
"Ayaw kong bumalik after this visit. During weekend booking.","Negative"
"Bad experience sa spa today. Sa local spa namin.","Negative"
